Yoast SEO;https://ru.wordpress.org/plugins/wordpress-seo/;Улучшите SEO вашего WordPress: поработайте над качеством контента и получите полностью оптимизированный WordPress-сайт с помощью…;5+ млн активных установок;5.9.3
Jetpack предназначен для защиты, резервного копирования, повышения скорости работы и развития вашего сайта WordPress;https://ru.wordpress.org/plugins/jetpack/;Обеспечьте дополнительную защиту сайта WordPress с помощью простых, но эффективных инструментов: резервного копирования и проверки…;5+ млн активных установок;6.0
Контактная форма WPForms — конструктор форм для WordPress, позволяющий создавать формы путём перетаскивания элементов;https://ru.wordpress.org/plugins/wpforms-lite/;The best WordPress contact form plugin. Drag & Drop online form builder that helps you…;5+ млн активных установок;6.0
Advanced Editor Tools (ранее TinyMCE Advanced);https://ru.wordpress.org/plugins/tinymce-advanced/;Расширяет и улучшает редактор блоков (Gutenberg) и классический редактор (TinyMCE).;2+ млн активных установок;5.7.6
MC4WP: Mailchimp for WordPress;https://ru.wordpress.org/plugins/mailchimp-for-wp/;Mailchimp для WordPress, неофициальный плагин Mailchimp №1.;2+ млн активных установок;5.9.3
Smush — Lazy Load Images, Optimize & Compress Images;https://ru.wordpress.org/plugins/wp-smushit/;Сжимайте изображения и оптимизируйте изображения с помощью отложенной загрузки, преобразования WebP и определения размера, чтобы…;1+ млн активных установок;5.9.3
Smash Balloon Social Photo Feed;https://ru.wordpress.org/plugins/instagram-feed/;Ранее плагин назывался «Instagram Feed». Аккуратное отображение постов из нескольких учетных записей Instagram в виде…;1+ млн активных установок;5.9.3
Rank Math SEO — лучший плагин SEO для WordPress, который увеличит ваш SEO-трафик;https://ru.wordpress.org/plugins/seo-by-rank-math/;Rank Math SEO — лучший WordPress SEO плагин, сочетающий в себе функции многих SEO инструментов…;1+ млн активных установок;6.0
Gutenberg Template and Pattern Library & Redux Framework;https://ru.wordpress.org/plugins/redux-framework/;Supercharge the Gutenberg editor with our library of Gutenberg block templates, layouts, and patterns!;1+ млн активных установок;6.0
Ninja Forms Contact Form — The Drag and Drop Form Builder for WordPress;https://ru.wordpress.org/plugins/ninja-forms/;The 100% beginner friendly WordPress form builder. Drag & drop form fields to build beautiful,…;1+ млн активных установок;5.9.3
Smart Slider 3;https://ru.wordpress.org/plugins/smart-slider-3/;Плагин адаптивного слайдера для простого создания слайдов в визуальном редакторе. Создавайте красивые слайдеры изображений, слоёв,…;800 000+ активных установок;5.9.3
The Events Calendar;https://ru.wordpress.org/plugins/the-events-calendar/;Календарь мероприятий — это плагин календаря номер один для WordPress. Легко создавайте и управляйте мероприятиями…;800 000+ активных установок;5.9.3
WordPress Плагин для Шорткодов — Shortcodes Ultimate;https://ru.wordpress.org/plugins/shortcodes-ultimate/;Обширная коллекция визуальных компонентов для вашего сайта;700 000+ активных установок;6.0
Slider, Gallery, and Carousel by MetaSlider — Responsive WordPress Plugin;https://ru.wordpress.org/plugins/ml-slider/;Лучший плагин слайдера, галереи и карусели для WordPress. Отзывчивый и простой в использовании с изображениями,…;700 000+ активных установок;5.9.3
WordPress Gallery Plugin — NextGEN Gallery;https://ru.wordpress.org/plugins/nextgen-gallery/;Самый популярный плагин WordPress для галерей и один из самых загружаемых плагинов за всю историю…;700 000+ активных установок;5.9.3
MailPoet — письма и рассылки в WordPress;https://ru.wordpress.org/plugins/mailpoet/;Отправляйте прекрасные рассылки из WordPress. Собирайте подписчиков с помощью форм подписки, автоматизируйте письма для WooCommerce,…;500 000+ активных установок;5.9.3
AMP;https://ru.wordpress.org/plugins/amp/;An easier path to great Page Experience for everyone. Powered by AMP.;500 000+ активных установок;6.0
Page Builder Gutenberg Blocks – CoBlocks;https://ru.wordpress.org/plugins/coblocks/;CoBlocks — это набор блоков WordPress для конструктора страниц для Gutenberg, с более чем 10…;500 000+ активных установок;5.9.3
Spectra — WordPress Gutenberg Blocks;https://ru.wordpress.org/plugins/ultimate-addons-for-gutenberg/;Power-up the Gutenberg editor with advanced and powerful blocks that help you build websites in…;300 000+ активных установок;5.9.3
Orbit Fox от ThemeIsle;https://ru.wordpress.org/plugins/themeisle-companion/;Этот плагин швейцарский нож, поставляется с качественной библиотекой шаблонов, модулями меню/значков общего доступа, блоками Gutenberg…;300 000+ активных установок;5.8.4
